filename,width,height,class,xmin,ymin,xmax,ymax
bc097e0a-99bf-438d-9826-5ba0f228ea34-0074_image.jpg,1914,1052,label1,1488,406,1750,476
f075920b-5e7a-4c75-8ce8-3368d5f4254b-0033_image.jpg,1914,1052,label1,667,409,700,442
bc097e0a-99bf-438d-9826-5ba0f228ea34-0008_image.jpg,1914,1052,label1,0,437,211,495
6b08aacf-49fe-445b-8085-41d09f937be5-0081_image.jpg,1914,1052,label2,717,398,745,428
65725892-b191-4d0c-831c-5f4f84a3b0a9-0086_image.jpg,1914,1052,label1,1687,432,1914,499
62995e02-a09c-43f2-99e5-e23381915b37-0073_image.jpg,1914,1052,label1,466,457,541,493
3f70775d-223d-4929-b6ac-ab687814a34d-0109_image.jpg,1914,1052,label1,160,472,214,500
8b2d3265-8b38-439d-86e9-92dccfee4cb5-0057_image.jpg,1914,1052,label1,798,424,908,497
6e8c6f50-8a18-4f27-a9cc-3ab775d7bc9c-0028_image.jpg,1914,1052,label2,845,417,884,446
630f5200-f86e-490f-8764-1ecf1d398f5b-0105_image.jpg,1914,1052,label1,375,348,743,576
1dac619e-4123-42e9-bf11-8df2db3facf7-0035_image.jpg,1914,1052,label1,316,490,444,577
06acf647-e2e9-4562-aa42-eed217e5bd84-0091_image.jpg,1914,1052,label0,665,57,1142,618
8b2d3265-8b38-439d-86e9-92dccfee4cb5-0066_image.jpg,1914,1052,label1,874,415,962,475
af3ae5e6-27ef-4699-beb3-f2c72831a594-0056_image.jpg,1914,1052,label1,1129,405,1180,438
af3ae5e6-27ef-4699-beb3-f2c72831a594-0033_image.jpg,1914,1052,label1,1174,363,1221,395
8b2d3265-8b38-439d-86e9-92dccfee4cb5-0098_image.jpg,1914,1052,label2,874,414,1016,550
1db03ecc-1d79-474b-bbbf-79d0b16bf277-0062_image.jpg,1914,1052,label1,954,393,1129,552
a4e74f16-eed6-4eb8-9911-51e0d288cd29-0108_image.jpg,1914,1052,label1,747,392,822,429
1dac619e-4123-42e9-bf11-8df2db3facf7-0099_image.jpg,1914,1052,label1,671,433,824,510
435ebc5b-40e8-401c-9816-8f584427f82c-0099_image.jpg,1914,1052,label2,1584,331,1744,399
fc26f4db-22c1-49c7-be8d-b769476cdff2-0151_image.jpg,1914,1052,label1,423,427,572,462
937869c5-e3b8-42d0-a0ef-5fe03e88c26f-0161_image.jpg,1914,1052,label2,714,426,761,458
bc097e0a-99bf-438d-9826-5ba0f228ea34-0143_image.jpg,1914,1052,label1,911,423,960,456
6d179946-a669-4f32-8438-145a0f80886c-0045_image.jpg,1914,1052,label1,1689,392,1844,458
eb46684b-f8c9-455e-80ff-1e168d7d2f7c-0050_image.jpg,1914,1052,label1,1692,362,1894,421
28016933-19b0-4398-a4bb-8362267395ba-0050_image.jpg,1914,1052,label1,786,417,952,519
6d179946-a669-4f32-8438-145a0f80886c-0020_image.jpg,1914,1052,label2,1041,338,1340,513
cb65a1e9-c01f-49ce-8e46-0f791aae4bf9-0019_image.jpg,1914,1052,label2,172,418,237,465
1dac619e-4123-42e9-bf11-8df2db3facf7-0085_image.jpg,1914,1052,label1,370,368,455,422
06084349-6a34-4e47-8fab-e7a7ca3cbdd8-0037_image.jpg,1914,1052,label1,1106,360,1567,608
483efc67-5354-4368-bcdb-f51559dda379-0055_image.jpg,1914,1052,label1,1104,246,1742,754
06acf647-e2e9-4562-aa42-eed217e5bd84-0039_image.jpg,1914,1052,label0,685,46,1171,618
