0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000,817,170,1164,571,bus,93.18006634712219
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001,801,172,1152,570,bus,88.16109895706177
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002,830,164,1187,579,bus,97.11254835128784
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002,654,433,691,498,horse,55.80880641937256
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003,799,167,1176,574,bus,90.1934027671814
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004,822,162,1172,570,bus,95.96168994903564
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004,553,442,592,500,giraffe,50.91257691383362
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005,819,165,1168,571,bus,94.98326182365417
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006,368,448,574,521,bench,92.17524528503418
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006,824,162,1172,574,bus,90.46627283096313
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007,821,165,1175,578,bus,91.17046594619751
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008,824,166,1179,577,bus,85.184246301651
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008,1209,447,1305,511,bench,73.32019805908203
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017,-1,281,157,475,truck,82.92996287345886
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018,1,293,227,508,truck,94.449383020401
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019,3,294,272,531,truck,97.48689532279968
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020,6,209,336,512,truck,87.99394369125366
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020,1645,317,1826,412,elephant,59.300822019577026
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021,3,113,382,560,truck,82.58227109909058
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022,7,130,417,539,truck,87.74858713150024
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023,0,49,481,559,truck,90.86120128631592
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023,-7,394,464,562,truck,55.29995560646057
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024,-10,-10,594,607,truck,77.28320956230164
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025,-10,-11,623,638,truck,92.84712672233582
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026,-15,-13,608,631,truck,93.9864456653595
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027,-3,2,638,663,truck,93.93161535263062
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028,-2,12,650,679,truck,93.89314651489258
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029,3,10,635,710,truck,90.05085229873657
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030,2,9,599,748,truck,86.0575258731842
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031,-2,6,561,823,truck,92.47556924819946
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032,2,7,491,680,truck,88.7702465057373
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033,0,342,323,733,truck,91.06090664863586
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036,663,334,823,497,truck,99.12245869636536
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037,623,325,806,507,truck,95.15460133552551
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038,561,297,787,517,truck,89.27397727966309
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039,495,282,765,531,truck,98.42048287391663
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040,396,250,735,548,truck,98.59850406646729
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041,149,174,670,585,truck,97.60448932647705
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042,-6,66,618,648,truck,99.62427616119385
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043,5,7,557,685,truck,94.2603588104248
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044,1,4,345,691,truck,96.16339802742004
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000,1846,496,1910,526,car,57.286351919174194
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001,1595,455,1663,487,car,60.39937734603882
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003,1233,438,1294,466,car,55.31926155090332
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004,1101,405,1170,437,car,66.44594073295593
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005,1174,328,1217,374,stop sign,81.04999661445618
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006,732,197,778,258,traffic light,91.43071174621582
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006,324,456,437,498,car,84.50246453285217
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006,948,196,973,256,traffic light,83.38633179664612
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007,740,184,788,248,traffic light,95.28947472572327
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007,321,454,440,498,car,84.10865068435669
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007,968,183,994,247,traffic light,82.3979914188385
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008,755,165,806,234,traffic light,94.75005269050598
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008,995,164,1023,231,traffic light,87.13497519493103
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008,324,450,447,495,car,75.93601942062378
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009,756,148,810,219,traffic light,93.5206413269043
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009,1012,147,1041,218,traffic light,93.03057789802551
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009,309,448,441,496,car,79.58264946937561
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010,856,126,889,205,traffic light,91.72048568725586
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010,573,123,635,201,traffic light,86.01303696632385
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010,61,456,226,506,car,79.07078266143799
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011,627,93,665,179,traffic light,97.28614687919617
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011,284,75,365,165,traffic light,91.95340275764465
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011,924,195,958,273,traffic light,61.21063828468323
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011,1759,389,1797,439,fire hydrant,61.052727699279785
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012,343,39,393,141,traffic light,96.56491875648499
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012,1628,357,1918,455,car,84.03197526931763
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012,1540,397,1574,448,fire hydrant,78.56142520904541
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012,699,174,737,260,traffic light,62.26990222930908
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013,374,397,488,477,truck,82.997065782547
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014,451,404,565,484,truck,69.89477872848511
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014,453,406,562,486,car,60.05091667175293
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015,449,401,561,483,car,85.36965847015381
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016,407,398,524,490,truck,80.06504774093628
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017,491,389,607,483,truck,72.46939539909363
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018,600,381,716,484,truck,83.66852402687073
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019,811,374,930,482,truck,66.10695719718933
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020,973,379,1105,498,car,53.94594073295593
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021,1062,373,1222,515,truck,52.109622955322266
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022,1134,349,1378,547,truck,58.62600803375244
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023,1239,238,1906,721,truck,90.93112349510193
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029,674,464,760,501,car,68.75621676445007
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030,625,457,747,517,truck,61.37186884880066
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030,629,465,747,517,car,55.29437065124512
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031,1199,454,1238,519,fire hydrant,94.74037289619446
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032,1644,155,1676,243,traffic light,58.31184983253479
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033,1609,28,1639,124,traffic light,69.08142566680908
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034,1583,5,1619,97,traffic light,60.22009253501892
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035,1679,246,1794,291,traffic light,72.37980961799622
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035,1738,247,1795,287,traffic light,50.478243827819824
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035,1380,413,1517,456,car,50.35911202430725
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036,241,183,269,253,traffic light,64.8122251033783
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036,1501,439,1680,496,car,63.33576440811157
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036,295,331,398,372,traffic light,53.09028625488281
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037,1342,443,1409,540,fire hydrant,99.92245435714722
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038,1604,430,1738,591,fire hydrant,99.99932050704956
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049,797,427,846,460,car,52.418118715286255
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051,1218,79,1932,1017,truck,59.86442565917969
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053,659,175,1783,1011,car,66.64472818374634
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053,901,321,972,376,car,57.62184262275696
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053,1405,275,1505,362,person,50.98499655723572
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053,663,166,1784,1022,truck,50.751930475234985
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054,707,310,1541,659,truck,89.48245644569397
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055,1319,472,1369,535,fire hydrant,93.66023540496826
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055,58,297,934,678,truck,79.56424355506897
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056,1388,479,1445,549,fire hydrant,97.28487133979797
